"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Invalid authorization","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-806 Validation Service - Validate Duration/Duration of appointment is within authorized allowed time (per appointment)","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Admin notes must be at least 140 characters","api/","0","0","3","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/column","0","0","1","0","0"
"","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO/403 Copy","events/{{event.id}}/to-convert","0","0","2","0","0"
"","/timesheet/PRAC-866  Validation Service - Segment Start/End Time Modification/Change Start/End Time ","api/","0","0","3","0","0"
"","/timesheet/PRAC-1185 - Update language of verification exception","timesheets","0","0","1","0","0"
"","/timesheet/PRAC-953 - Draft Time Sheet API - Get Timesheet List/DraftTimesheet -> Access permissions. - ZSquash1/Password1!/364908","timesheets","0","0","21","0","0"
"","/timesheet/PRAC-957 - Draft Timesheet API - List Endpoint","timesheets","0","0","36","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint/Billing > Timesheets > Allow Conversion Modification /The employee doesn't have permission","auth/credentials","0","0","3","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Notes - Fields are required","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint","converted-timesheets/{{timesheet.id}}","0","0","18","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Client rates not setup","api/","0","0","5","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Authorization deleted","api/","0","0","7","0","0"
"","/timesheet/PRAC-957 - Draft Timesheet API - List Endpoint/PRAC-953 - Sort","timesheets","0","0","15","0","0"
"","/timesheet/PRAC-951 - Draft Time Sheet API - Update and Delete/403","timesheets","0","0","1","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint/Billing > Timesheets > Allow Conversion Modification /The employee doesn't have permission","converted-timesheets/1","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Service notes are required","billing/service-codes/{{code.id}}","0","0","2","0","0"
"","/timesheet/PRAC-1185 - Update language of verification exception","api/","1","0","2","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint","api/","0","0","3","0","0"
"","/timesheet/PRAC-957 - Draft Timesheet API - List Endpoint/PRAC-953 - Sort","api/","0","0","5","0","0"
"","/timesheet/PRAC-867  Validation Service - Service Address Change/Change Start/End Time ","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Payor does not have a fee schedule for the service code in the appointment, a fee schedule needs to selected at the time of conversion","converted-timesheets","0","0","1","0","0"
"","/timesheet/PRAC-867  Validation Service - Service Address Change/Change Start/End Time ","api/","0","0","3","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Service notes must be at least 140 characters","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-951 - Draft Time Sheet API - Update and Delete","auth/credentials","0","0","1","0","0"
"","/timesheet/PRAC-1177 - Warning text should be updated on validation Enum 146 Copy","api/","0","0","3","0","0"
"","/timesheet/PRAC-954 - Draft Time Sheet API - Validate Incoming Timesheet","timesheets/{{timesheet.id}}","0","0","51","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Admin notes are required","billing/service-codes/{{code.id}}","0","0","2","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Copay has a precision of 6 and scale of 2 (####.##)","converted-timesheets","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - A fee schedule must be chosen","api/","0","0","4","0","0"
"","/timesheet/Setup","api/","0","0","5","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint","converted-timesheets","0","0","1","0","0"
"","/timesheet/PRAC-866  Validation Service - Segment Start/End Time Modification/Service Lines - Copay has a precision of 6 and scale of 2 (####.##)","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Authorization is not authorized for general use","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-951 - Draft Time Sheet API - Update and Delete","api/","0","0","2","0","0"
"","/timesheet/PRAC-954 - Draft Time Sheet API - Validate Incoming Timesheet","timesheets/{{draft.id}}","0","0","52","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Client rates not setup","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Authorization deleted Copy","api/","0","0","7","0","0"
"","/timesheet/PRAC-866  Validation Service - Segment Start/End Time Modification/Service Lines - Copay has a precision of 6 and scale of 2 (####.##)","api/","0","0","3","0","0"
"","/timesheet/PRAC-953 - Draft Time Sheet API - Get Timesheet List/Billing-> Access permissions - CGarcia6/Password1!/290681","timesheets","0","0","21","0","0"
"","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO","events/{{event.id}}/to-convert","0","0","2","0","0"
"","/timesheet/PRAC-719 Draft Timesheets API ","timesheets/{{draft.id}}","0","0","2","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Deleted service code","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Service Lines - Units of service must be a positive whole number","api/","0","0","3","0","0"
"","/timesheet/PRAC-957 - Draft Timesheet API - List Endpoint","events/{{event.id}}/to-convert","0","0","4","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service code requires authorization","api/","0","0","3","0","0"
"","/timesheet/PRAC- 804 Validation Service-Type of Service/Type of service on the appointment changed","api/","0","0","3","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Invalid authorization","billing/service-codes/{{code.id}}","0","0","2","0","0"
"","/timesheet/PRAC-1177 - Warning text should be updated on validation Enum 146","billing/service-codes/{{code.id}}","0","0","2","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Service notes must be at least 140 characters","billing/service-codes/{{code.id}}","0","0","2","0","0"
"","/timesheet/PRAC-957 - Draft Timesheet API - List Endpoint","api/","0","0","5","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Authorization deleted Copy","internal/resources/delete","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Payor does not have a fee schedule for the service code in the appointment, a fee schedule needs to selected at the time of conversion","api/","0","0","2","0","0"
"","/timesheet/PRAC-1163 - A post on ?billingmanager/loadnotes not returning id values - It's always returning Id 0","api/","0","0","2","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Restrict Early Timesheet Conversion","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-841 Timesheet Exception Migration Group 4: Authorizations & Scheduling/There was no authorization or billing code setup with the selected appointment","api/","0","0","3","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Provider is not in network with the client","api/","0","0","3","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Copay has a precision of 6 and scale of 2 (####.##)","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-902 - Visit Verification Flag for Mobile GetScheduleEvent Endpoint","api/","0","0","1","0","0"
"","/timesheet/PRAC-957 - Draft Timesheet API - List Endpoint","timesheets/{{draft.id}}","0","0","5","0","0"
"","/timesheet/PRAC-951 - Draft Time Sheet API - Update and Delete/403","auth/credentials","0","0","2","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Service Lines - Service date is required","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO","timesheets/convert-appointment/{{event.id}}","1","0","0","0","0"
"","/timesheet/PRAC-1177 - Warning text should be updated on validation Enum 146","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO","api/","0","0","3","0","0"
